u_id,u_school,u_keyboard,session_type,session_rating,avgcpm,session
201011,bmc,swiftkey,17,3,40.557,16
201011,bmc,swiftkey,18,5,42.154,17
201011,bmc,swiftkey,19,3,50.02,18
201011,bmc,swiftkey,20,3,51.425,19
201011,bmc,swiftkey,21,5,47.996,20
201011,bmc,swiftkey,22,5,44.603,21
201011,bmc,swiftkey,23,3,47.821,22
201011,bmc,swiftkey,24,4,46.35,23
201011,bmc,swiftkey,25,2,55.02,24
201011,bmc,swiftkey,26,2,48.306,25
201011,bmc,swiftkey,27,3,50.494,26
201011,bmc,swiftkey,28,5,59.398,27
201011,bmc,swiftkey,29,2,42.585,28
201011,bmc,swiftkey,30,3,46.596,29
201011,bmc,swiftkey,31,5,57.26,30
201012,bmc,sparsh,2,5,14.511111,1
201012,bmc,sparsh,3,5,19.368,2
201012,bmc,sparsh,4,4,22.011,3
201012,bmc,sparsh,5,4,17.849,4
201012,bmc,sparsh,6,3,18.251,5
201012,bmc,sparsh,7,4,18.201,6
201012,bmc,sparsh,8,4,23.211,7
201012,bmc,sparsh,9,5,22.735,8
201012,bmc,sparsh,10,5,22.776,9
201012,bmc,sparsh,11,5,19.803,10
201012,bmc,sparsh,12,5,23.068,11
201012,bmc,sparsh,13,5,20.149,12
201012,bmc,sparsh,14,5,26.542,13
201012,bmc,sparsh,15,4,26.098,14
201012,bmc,sparsh,16,5,29.195556,15
201012,bmc,sparsh,17,5,26.685,16
201012,bmc,sparsh,18,5,30.117,17
201012,bmc,sparsh,19,5,31.288,18
201012,bmc,sparsh,20,5,25.207,19
201012,bmc,sparsh,21,5,26.864,20
201012,bmc,sparsh,22,5,30.31,21
201012,bmc,sparsh,23,5,32.334,22
201012,bmc,sparsh,24,5,30.568,23
201012,bmc,sparsh,25,5,35.014,24
201012,bmc,sparsh,26,5,33.61,25
201012,bmc,sparsh,27,5,32.237,26
201012,bmc,sparsh,28,5,29.141,27
201012,bmc,sparsh,29,5,33.976,28
201012,bmc,sparsh,30,5,33.681,29
201012,bmc,sparsh,31,5,34.042,30
202001,bmc,swc,2,4,17.126,1
202001,bmc,swc,3,4,24.046667,2
202001,bmc,swc,4,5,21.537,3
202001,bmc,swc,5,2,29.03375,4
202001,bmc,swc,6,2,27.035556,5
202001,bmc,swc,7,5,34.867,6
202001,bmc,swc,8,4,30.349,7
202001,bmc,swc,9,2,32.006,8
202001,bmc,swc,10,3,33.101,9
202001,bmc,swc,11,4,38.633,10
202001,bmc,swc,12,2,32.899,11
202001,bmc,swc,13,2,30.657,12
202001,bmc,swc,14,4,43.709,13
202001,bmc,swc,15,3,38.122,14
202001,bmc,swc,16,3,36.255,15
202001,bmc,swc,17,2,32.388,16
202001,bmc,swc,18,2,35.949,17
202001,bmc,swc,19,4,36.183,18
202001,bmc,swc,20,5,34.077,19
202001,bmc,swc,21,5,38.086,20
202001,bmc,swc,22,5,38.312,21
202001,bmc,swc,23,4,35.898,22
202001,bmc,swc,24,4,36.472,23
202001,bmc,swc,25,2,38.631,24
202001,bmc,swc,26,5,47.797,25
202001,bmc,swc,27,5,46.017,26
202001,bmc,swc,28,5,48.942,27
202001,bmc,swc,29,5,48.35,28
202001,bmc,swc,30,3,50.139,29
202001,bmc,swc,31,5,47.256,30
203001,bmc,sparsh,2,4,16.079,1
203001,bmc,sparsh,3,2,21.125,2
203001,bmc,sparsh,4,2,21.334,3
203001,bmc,sparsh,5,4,21.635,4
203001,bmc,sparsh,6,2,23.416,5
203001,bmc,sparsh,7,2,24.739,6
203001,bmc,sparsh,8,2,24.7,7
203001,bmc,sparsh,9,2,30.888,8
203001,bmc,sparsh,10,2,28.366,9
203001,bmc,sparsh,11,3,31.811,10
203001,bmc,sparsh,12,2,29.298,11
203001,bmc,sparsh,13,3,27.702,12
203001,bmc,sparsh,14,2,29.853,13
203001,bmc,sparsh,15,2,32.206,14
203001,bmc,sparsh,16,2,31.32,15
203001,bmc,sparsh,17,2,28.395,16
203001,bmc,sparsh,18,4,34.064,17
203001,bmc,sparsh,19,3,30.935,18
203001,bmc,sparsh,20,2,36.516,19
203001,bmc,sparsh,21,2,33.625,20
203001,bmc,sparsh,22,2,34.664,21
203001,bmc,sparsh,23,3,34.88,22
203001,bmc,sparsh,24,5,37.334,23
203001,bmc,sparsh,25,3,32.148,24
203001,bmc,sparsh,26,2,36.682,25
203001,bmc,sparsh,27,5,38.084,26
203001,bmc,sparsh,28,3,43.591,27
203001,bmc,sparsh,29,4,40.377,28
203001,bmc,sparsh,30,4,37.8,29
203001,bmc,sparsh,31,4,36.873,30
203002,bmc,sparsh,2,5,19.236,1
203002,bmc,sparsh,3,5,21.376,2
203002,bmc,sparsh,4,4,22.836,3
203002,bmc,sparsh,5,4,23.622,4
203002,bmc,sparsh,6,4,25.598889,5
203002,bmc,sparsh,7,4,27.602222,6
203002,bmc,sparsh,8,5,22.286,7
203002,bmc,sparsh,9,5,27.308,8
203002,bmc,sparsh,10,5,27.955556,9
203002,bmc,sparsh,11,4,30.886667,10
203002,bmc,sparsh,12,4,21.297,11
203002,bmc,sparsh,13,4,32.503,12
203002,bmc,sparsh,14,5,29.486,13
203002,bmc,sparsh,15,3,32.589,14
203002,bmc,sparsh,16,4,25.81,15
203002,bmc,sparsh,17,4,29.297,16
203002,bmc,sparsh,18,4,26.261,17
203002,bmc,sparsh,19,5,27.597,18
203002,bmc,sparsh,20,5,26.294,19
203002,bmc,sparsh,21,5,31.912,20
203002,bmc,sparsh,22,5,29.257,21
203002,bmc,sparsh,23,5,34.879,22
203002,bmc,sparsh,24,5,29.017,23
203002,bmc,sparsh,25,5,30.89,24
203002,bmc,sparsh,26,5,32.8,25
203002,bmc,sparsh,27,5,30.662,26
203002,bmc,sparsh,28,5,34.536,27
203002,bmc,sparsh,29,5,31.124,28
203002,bmc,sparsh,30,5,31.759,29
203002,bmc,sparsh,31,5,31.733,30
203004,bmc,cdac,2,5,25.228,1
203004,bmc,cdac,3,4,32.079,2
203004,bmc,cdac,4,2,31.34,3
203004,bmc,cdac,5,3,38.401,4
203004,bmc,cdac,6,4,33.331,5
203004,bmc,cdac,7,5,36.551,6
203004,bmc,cdac,8,5,41.801,7
203004,bmc,cdac,9,5,38.879,8
203004,bmc,cdac,10,5,34.234,9
203004,bmc,cdac,11,5,33.794,10
203004,bmc,cdac,12,4,35.252,11
203004,bmc,cdac,13,4,40.952,12
203004,bmc,cdac,14,5,37.968,13
203004,bmc,cdac,15,5,42.693,14
203004,bmc,cdac,16,5,41.992,15
203004,bmc,cdac,17,5,44.531,16
203004,bmc,cdac,18,5,44.049,17
203004,bmc,cdac,19,5,46.776,18
203004,bmc,cdac,20,5,45.982,19
203004,bmc,cdac,21,5,48.288,20
203004,bmc,cdac,22,5,45.762,21
203004,bmc,cdac,23,5,46.252,22
203004,bmc,cdac,24,4,46.877,23
203004,bmc,cdac,25,5,50.322,24
203004,bmc,cdac,26,3,46.359,25
203004,bmc,cdac,27,2,36.993,26
203004,bmc,cdac,28,5,46.884,27
203004,bmc,cdac,29,4,45.787,28
203004,bmc,cdac,30,4,50.695,29
203004,bmc,cdac,31,5,55.627,30
204001,bmc,sparsh,2,4,10.524,1
204001,bmc,sparsh,3,4,11.626667,2
204001,bmc,sparsh,4,2,10.482,3
204001,bmc,sparsh,5,3,15.747,4
204001,bmc,sparsh,6,4,18.134444,5
204001,bmc,sparsh,7,3,16.704,6
204001,bmc,sparsh,8,4,18.782,7
204001,bmc,sparsh,9,4,16.158,8
204001,bmc,sparsh,10,3,16.726,9
204001,bmc,sparsh,11,2,21.304444,10
204001,bmc,sparsh,12,4,21.062,11
204001,bmc,sparsh,13,4,20.485,12
204001,bmc,sparsh,14,5,20.812,13
204001,bmc,sparsh,15,5,23.427778,14
204001,bmc,sparsh,16,4,21.038889,15
204001,bmc,sparsh,17,4,19.372,16
204001,bmc,sparsh,18,2,20.833,17
204001,bmc,sparsh,19,3,17.123,18
204001,bmc,sparsh,20,4,19.374,19
204001,bmc,sparsh,21,4,23.445,20
204001,bmc,sparsh,22,4,21.164,21
204001,bmc,sparsh,23,4,22.192,22
204001,bmc,sparsh,24,4,23.182,23
204001,bmc,sparsh,25,4,23.412,24
204001,bmc,sparsh,26,3,20.926667,25
204001,bmc,sparsh,27,5,23.749,26
204001,bmc,sparsh,28,4,23.553,27
204001,bmc,sparsh,29,4,20.417,28
204001,bmc,sparsh,30,5,25.982,29
204001,bmc,sparsh,31,4,22.783,30
205001,bmc,swiftkey,2,3,21.694,1
205001,bmc,swiftkey,3,5,26.443,2
205001,bmc,swiftkey,4,4,21.522,3
205001,bmc,swiftkey,5,4,26.31,4
205001,bmc,swiftkey,6,4,25.564,5
205001,bmc,swiftkey,7,4,27.05375,6
205001,bmc,swiftkey,8,4,28.582,7
205001,bmc,swiftkey,9,3,29.079,8
205001,bmc,swiftkey,10,2,25.442,9
205001,bmc,swiftkey,11,2,30.728,10
205001,bmc,swiftkey,12,4,29.422,11
205001,bmc,swiftkey,13,3,32.754,12
205001,bmc,swiftkey,14,4,35.018,13
205001,bmc,swiftkey,15,4,30.886,14
205001,bmc,swiftkey,16,2,36.241,15
205001,bmc,swiftkey,17,4,32.717,16
205001,bmc,swiftkey,18,3,35.719,17
205001,bmc,swiftkey,19,2,40.397,18
205001,bmc,swiftkey,20,4,33.045,19
205001,bmc,swiftkey,21,4,31.343,20
205001,bmc,swiftkey,22,4,30.339,21
205001,bmc,swiftkey,23,3,39.535,22
205001,bmc,swiftkey,24,4,32.038,23
205001,bmc,swiftkey,25,4,35.747,24
205001,bmc,swiftkey,26,5,34.154,25
205001,bmc,swiftkey,27,4,31.128,26
205001,bmc,swiftkey,28,5,47.12,27
205001,bmc,swiftkey,29,5,41.81,28
205001,bmc,swiftkey,30,5,41.574,29
205001,bmc,swiftkey,31,5,47.289,30
205003,bmc,cdac,2,5,11.347,1
205003,bmc,cdac,3,4,21.934,2
205003,bmc,cdac,4,4,17.855,3
205003,bmc,cdac,5,4,15.708,4
205003,bmc,cdac,6,4,19.004,5
205003,bmc,cdac,7,4,18.991,6
205003,bmc,cdac,8,4,20.381,7
205003,bmc,cdac,9,5,27.853,8
205003,bmc,cdac,10,2,29.452,9
205003,bmc,cdac,11,4,25.271,10
205003,bmc,cdac,12,3,30.283,11
205003,bmc,cdac,13,3,22.761,12
205003,bmc,cdac,14,5,35.683333,13
205003,bmc,cdac,15,5,30.554,14
205003,bmc,cdac,16,4,25.627,15
205003,bmc,cdac,17,3,34.375,16
205003,bmc,cdac,18,5,36.45,17
205003,bmc,cdac,19,4,30.535,18
205003,bmc,cdac,20,3,35.069,19
205003,bmc,cdac,21,4,35.867,20
205003,bmc,cdac,22,4,35.671,21
205003,bmc,cdac,23,4,36.636,22
205003,bmc,cdac,24,4,40.614,23
205003,bmc,cdac,25,5,35.893,24
205003,bmc,cdac,26,4,33.423,25
205003,bmc,cdac,27,4,24.591,26
205003,bmc,cdac,28,5,37.926,27
205003,bmc,cdac,29,5,41.403,28
205003,bmc,cdac,30,5,38.898,29
205003,bmc,cdac,31,5,37.975,30
205004,bmc,sparsh,2,4,19.49625,1
205004,bmc,sparsh,3,5,25.031,2
205004,bmc,sparsh,4,5,25.927,3
205004,bmc,sparsh,5,5,24.055,4
205004,bmc,sparsh,6,5,33.446,5
205004,bmc,sparsh,7,5,30.827,6
205004,bmc,sparsh,8,4,27.745,7
205004,bmc,sparsh,9,5,31.984,8
205004,bmc,sparsh,10,5,29.678,9
205004,bmc,sparsh,11,5,33.053,10
205004,bmc,sparsh,12,5,31.885,11
205004,bmc,sparsh,13,5,40.871,12
205004,bmc,sparsh,14,5,32.003,13
205004,bmc,sparsh,15,5,39.735,14
205004,bmc,sparsh,16,5,41.871,15
205004,bmc,sparsh,17,5,39.25,16
205004,bmc,sparsh,18,5,41.302,17
205004,bmc,sparsh,19,5,37.446,18
205004,bmc,sparsh,20,5,42.947,19
205004,bmc,sparsh,21,4,42.413,20
205004,bmc,sparsh,22,5,51.68,21
205004,bmc,sparsh,23,5,47.694,22
205004,bmc,sparsh,24,5,46.701,23
205004,bmc,sparsh,25,5,47.37,24
205004,bmc,sparsh,26,5,41.439,25
205004,bmc,sparsh,27,5,42.051,26
205004,bmc,sparsh,28,5,41.507,27
205004,bmc,sparsh,29,5,46.817,28
205004,bmc,sparsh,30,5,42.374,29
205004,bmc,sparsh,31,5,45.258,30
205005,bmc,cdac,2,4,14.222,1
205005,bmc,cdac,3,5,19.678,2
205005,bmc,cdac,4,4,17.624,3
205005,bmc,cdac,5,5,23.774,4
205005,bmc,cdac,6,4,25.744,5
205005,bmc,cdac,7,4,26.821,6
205005,bmc,cdac,8,5,31.265,7
205005,bmc,cdac,9,5,28.153,8
205005,bmc,cdac,10,5,31.335,9
205005,bmc,cdac,11,4,30.43,10
205005,bmc,cdac,12,5,29.53,11
205005,bmc,cdac,13,3,33.298889,12
205005,bmc,cdac,14,4,32.539,13
205005,bmc,cdac,15,5,33.339,14
205005,bmc,cdac,16,5,31.631,15
205005,bmc,cdac,17,5,27.232,16
205005,bmc,cdac,18,5,28.493,17
205005,bmc,cdac,19,5,31.313,18
205005,bmc,cdac,20,5,30.496,19
205005,bmc,cdac,21,5,30.592,20
205005,bmc,cdac,22,5,32.674,21
205005,bmc,cdac,23,5,37.998,22
205005,bmc,cdac,24,5,28.057,23
205005,bmc,cdac,25,5,31.061,24
205005,bmc,cdac,26,5,31.205,25
205005,bmc,cdac,27,5,32.21,26
205005,bmc,cdac,28,5,44.665,27
205005,bmc,cdac,29,5,29.988,28
205005,bmc,cdac,30,5,34.348,29
205005,bmc,cdac,31,5,41.866,30
205006,bmc,swiftkey,2,5,22.67,1
205006,bmc,swiftkey,3,4,34.196667,2
205006,bmc,swiftkey,4,2,25.311,3
205006,bmc,swiftkey,5,4,29.74,4
205006,bmc,swiftkey,6,4,32.891,5
205006,bmc,swiftkey,7,5,44.297,6
205006,bmc,swiftkey,8,4,38.358889,7
205006,bmc,swiftkey,9,5,36.082,8
205006,bmc,swiftkey,10,4,40.246,9
205006,bmc,swiftkey,11,5,40.45,10
205006,bmc,swiftkey,12,5,38.085,11
205006,bmc,swiftkey,13,5,39.245,12
205006,bmc,swiftkey,14,3,32.196,13
205006,bmc,swiftkey,15,5,36.674,14
205006,bmc,swiftkey,16,4,40.338,15
205006,bmc,swiftkey,17,5,42.739,16
205006,bmc,swiftkey,18,4,40.124444,17
205006,bmc,swiftkey,19,5,48.989,18
205006,bmc,swiftkey,20,5,47.225,19
205006,bmc,swiftkey,21,4,49.755,20
205006,bmc,swiftkey,22,5,46.638,21
205006,bmc,swiftkey,23,4,47.501,22
205006,bmc,swiftkey,24,4,41.153,23
205006,bmc,swiftkey,25,4,39.667,24
205006,bmc,swiftkey,26,5,50.878,25
205006,bmc,swiftkey,27,4,38.431,26
205006,bmc,swiftkey,28,5,45.844444,27
205006,bmc,swiftkey,29,4,45.002,28
205006,bmc,swiftkey,30,4,33.62375,29
205006,bmc,swiftkey,31,5,57.834,30
205007,bmc,swc,2,3,23.571,1
205007,bmc,swc,3,5,26.732,2
205007,bmc,swc,4,4,26.364,3
205007,bmc,swc,5,3,27.603,4
205007,bmc,swc,6,3,24.188,5
205007,bmc,swc,7,2,29.806,6
